,date,end_id,amount
606,2016-01-14,Cluster 19,155
607,2016-01-14,Cluster 2,1204
608,2016-01-14,Cluster 20,123
609,2016-01-14,Cluster 21,594
610,2016-01-14,Cluster 22,158
611,2016-01-14,Cluster 23,176
612,2016-01-14,Cluster 24,64
613,2016-01-14,Cluster 25,2141
614,2016-01-14,Cluster 26,1045
615,2016-01-14,Cluster 27,215
616,2016-01-14,Cluster 28,19
617,2016-01-14,Cluster 29,4
618,2016-01-14,Cluster 3,859
619,2016-01-14,Cluster 30,43
620,2016-01-14,Cluster 31,22
621,2016-01-14,Cluster 32,72
622,2016-01-14,Cluster 33,35
623,2016-01-14,Cluster 34,58
624,2016-01-14,Cluster 35,19
625,2016-01-14,Cluster 36,20
626,2016-01-14,Cluster 37,27
627,2016-01-14,Cluster 38,37
628,2016-01-14,Cluster 39,55
629,2016-01-14,Cluster 4,1549
630,2016-01-14,Cluster 40,2
631,2016-01-14,Cluster 41,4
632,2016-01-14,Cluster 42,17
633,2016-01-14,Cluster 43,7
634,2016-01-14,Cluster 44,11
635,2016-01-14,Cluster 45,2123
636,2016-01-14,Cluster 46,4
637,2016-01-14,Cluster 5,2019
638,2016-01-14,Cluster 6,5573
639,2016-01-14,Cluster 7,1106
640,2016-01-14,Cluster 8,7044
641,2016-01-14,Cluster 9,1402
642,2016-01-15,Cluster 1,1698
643,2016-01-15,Cluster 10,120
644,2016-01-15,Cluster 11,238
645,2016-01-15,Cluster 12,324
646,2016-01-15,Cluster 13,208
647,2016-01-15,Cluster 14,589
648,2016-01-15,Cluster 15,712
649,2016-01-15,Cluster 16,27
650,2016-01-15,Cluster 17,258
651,2016-01-15,Cluster 18,631
652,2016-01-15,Cluster 19,203
653,2016-01-15,Cluster 2,1576
654,2016-01-15,Cluster 20,157
655,2016-01-15,Cluster 21,755
656,2016-01-15,Cluster 22,212
657,2016-01-15,Cluster 23,295
658,2016-01-15,Cluster 24,60
659,2016-01-15,Cluster 25,2213
660,2016-01-15,Cluster 26,1035
661,2016-01-15,Cluster 27,227
662,2016-01-15,Cluster 28,37
663,2016-01-15,Cluster 29,5
664,2016-01-15,Cluster 3,1381
665,2016-01-15,Cluster 30,37
666,2016-01-15,Cluster 31,41
667,2016-01-15,Cluster 32,103
668,2016-01-15,Cluster 33,47
669,2016-01-15,Cluster 34,68
670,2016-01-15,Cluster 35,20
671,2016-01-15,Cluster 36,30
672,2016-01-15,Cluster 37,23
673,2016-01-15,Cluster 38,51
674,2016-01-15,Cluster 39,75
675,2016-01-15,Cluster 4,1787
676,2016-01-15,Cluster 40,2
677,2016-01-15,Cluster 41,5
678,2016-01-15,Cluster 42,14
679,2016-01-15,Cluster 43,4
680,2016-01-15,Cluster 44,8
681,2016-01-15,Cluster 45,1916
682,2016-01-15,Cluster 46,4
683,2016-01-15,Cluster 5,2296
684,2016-01-15,Cluster 6,5501
685,2016-01-15,Cluster 7,1627
686,2016-01-15,Cluster 8,6752
687,2016-01-15,Cluster 9,1142
688,2016-01-16,Cluster 1,1595
689,2016-01-16,Cluster 10,105
690,2016-01-16,Cluster 11,217
691,2016-01-16,Cluster 12,278
692,2016-01-16,Cluster 13,146
693,2016-01-16,Cluster 14,582
694,2016-01-16,Cluster 15,739
695,2016-01-16,Cluster 16,13
696,2016-01-16,Cluster 17,238
697,2016-01-16,Cluster 18,709
698,2016-01-16,Cluster 19,171
699,2016-01-16,Cluster 2,1717
700,2016-01-16,Cluster 20,104
701,2016-01-16,Cluster 21,649
702,2016-01-16,Cluster 22,231
703,2016-01-16,Cluster 23,294
704,2016-01-16,Cluster 24,51
705,2016-01-16,Cluster 25,1510
706,2016-01-16,Cluster 26,683
707,2016-01-16,Cluster 27,192
708,2016-01-16,Cluster 28,23
709,2016-01-16,Cluster 29,7
710,2016-01-16,Cluster 3,1649
711,2016-01-16,Cluster 30,39
712,2016-01-16,Cluster 31,41
713,2016-01-16,Cluster 32,90
714,2016-01-16,Cluster 33,57
715,2016-01-16,Cluster 34,74
716,2016-01-16,Cluster 35,18
717,2016-01-16,Cluster 36,17
718,2016-01-16,Cluster 37,27
719,2016-01-16,Cluster 38,29
720,2016-01-16,Cluster 39,60
721,2016-01-16,Cluster 4,1791
722,2016-01-16,Cluster 40,2
723,2016-01-16,Cluster 41,11
724,2016-01-16,Cluster 43,9
725,2016-01-16,Cluster 44,10
726,2016-01-16,Cluster 45,984
727,2016-01-16,Cluster 46,2
728,2016-01-16,Cluster 5,1505
729,2016-01-16,Cluster 6,3629
730,2016-01-16,Cluster 7,1576
731,2016-01-16,Cluster 8,4813
732,2016-01-16,Cluster 9,561
733,2016-01-17,Cluster 1,1419
734,2016-01-17,Cluster 10,90
735,2016-01-17,Cluster 11,128
736,2016-01-17,Cluster 12,244
737,2016-01-17,Cluster 13,149
738,2016-01-17,Cluster 14,507
739,2016-01-17,Cluster 15,631
740,2016-01-17,Cluster 16,16
741,2016-01-17,Cluster 17,188
742,2016-01-17,Cluster 18,653
743,2016-01-17,Cluster 19,150
744,2016-01-17,Cluster 2,1686
745,2016-01-17,Cluster 20,100
746,2016-01-17,Cluster 21,632
747,2016-01-17,Cluster 22,127
748,2016-01-17,Cluster 23,284
749,2016-01-17,Cluster 24,32
750,2016-01-17,Cluster 25,1444
751,2016-01-17,Cluster 26,595
752,2016-01-17,Cluster 27,156
753,2016-01-17,Cluster 28,19
754,2016-01-17,Cluster 29,3
755,2016-01-17,Cluster 3,1436
756,2016-01-17,Cluster 30,31
757,2016-01-17,Cluster 31,30
758,2016-01-17,Cluster 32,41
759,2016-01-17,Cluster 33,37
760,2016-01-17,Cluster 34,54
761,2016-01-17,Cluster 35,9
762,2016-01-17,Cluster 36,13
763,2016-01-17,Cluster 37,19
764,2016-01-17,Cluster 38,24
765,2016-01-17,Cluster 39,42
766,2016-01-17,Cluster 4,1168
