,date,start_id,amount
447,2016-01-10,Cluster 41,4
448,2016-01-10,Cluster 42,1
449,2016-01-10,Cluster 43,3
450,2016-01-10,Cluster 44,2
451,2016-01-10,Cluster 45,624
452,2016-01-10,Cluster 46,4
453,2016-01-10,Cluster 5,670
454,2016-01-10,Cluster 6,3058
455,2016-01-10,Cluster 7,1201
456,2016-01-10,Cluster 8,3558
457,2016-01-10,Cluster 9,189
458,2016-01-11,Cluster 1,862
459,2016-01-11,Cluster 10,47
460,2016-01-11,Cluster 11,137
461,2016-01-11,Cluster 12,157
462,2016-01-11,Cluster 13,71
463,2016-01-11,Cluster 14,256
464,2016-01-11,Cluster 15,405
465,2016-01-11,Cluster 16,9
466,2016-01-11,Cluster 17,126
467,2016-01-11,Cluster 18,331
468,2016-01-11,Cluster 19,236
469,2016-01-11,Cluster 2,955
470,2016-01-11,Cluster 20,41
471,2016-01-11,Cluster 21,240
472,2016-01-11,Cluster 22,98
473,2016-01-11,Cluster 23,104
474,2016-01-11,Cluster 24,20
475,2016-01-11,Cluster 25,2085
476,2016-01-11,Cluster 26,502
477,2016-01-11,Cluster 27,109
478,2016-01-11,Cluster 28,16
479,2016-01-11,Cluster 29,2
480,2016-01-11,Cluster 3,669
481,2016-01-11,Cluster 30,22
482,2016-01-11,Cluster 31,32
483,2016-01-11,Cluster 32,47
484,2016-01-11,Cluster 33,32
485,2016-01-11,Cluster 34,33
486,2016-01-11,Cluster 35,14
487,2016-01-11,Cluster 36,14
488,2016-01-11,Cluster 37,16
489,2016-01-11,Cluster 38,20
490,2016-01-11,Cluster 39,34
491,2016-01-11,Cluster 4,888
492,2016-01-11,Cluster 40,2
493,2016-01-11,Cluster 41,4
494,2016-01-11,Cluster 42,6
495,2016-01-11,Cluster 43,2
496,2016-01-11,Cluster 44,1
497,2016-01-11,Cluster 45,1614
498,2016-01-11,Cluster 46,1
499,2016-01-11,Cluster 5,1832
500,2016-01-11,Cluster 6,5363
501,2016-01-11,Cluster 7,889
502,2016-01-11,Cluster 8,7051
503,2016-01-11,Cluster 9,903
504,2016-01-12,Cluster 1,1068
505,2016-01-12,Cluster 10,43
506,2016-01-12,Cluster 11,121
507,2016-01-12,Cluster 12,178
508,2016-01-12,Cluster 13,45
509,2016-01-12,Cluster 14,277
510,2016-01-12,Cluster 15,452
511,2016-01-12,Cluster 16,8
512,2016-01-12,Cluster 17,113
513,2016-01-12,Cluster 18,334
514,2016-01-12,Cluster 19,217
515,2016-01-12,Cluster 2,897
516,2016-01-12,Cluster 20,50
517,2016-01-12,Cluster 21,278
518,2016-01-12,Cluster 22,77
519,2016-01-12,Cluster 23,95
520,2016-01-12,Cluster 24,29
521,2016-01-12,Cluster 25,2293
522,2016-01-12,Cluster 26,815
523,2016-01-12,Cluster 27,134
524,2016-01-12,Cluster 28,13
525,2016-01-12,Cluster 29,2
526,2016-01-12,Cluster 3,814
527,2016-01-12,Cluster 30,17
528,2016-01-12,Cluster 31,20
529,2016-01-12,Cluster 32,50
530,2016-01-12,Cluster 33,26
531,2016-01-12,Cluster 34,31
532,2016-01-12,Cluster 35,7
533,2016-01-12,Cluster 36,17
534,2016-01-12,Cluster 37,11
535,2016-01-12,Cluster 38,26
536,2016-01-12,Cluster 39,34
537,2016-01-12,Cluster 4,1188
538,2016-01-12,Cluster 40,3
539,2016-01-12,Cluster 41,1
540,2016-01-12,Cluster 42,4
541,2016-01-12,Cluster 43,3
542,2016-01-12,Cluster 44,2
543,2016-01-12,Cluster 45,2128
544,2016-01-12,Cluster 46,6
545,2016-01-12,Cluster 5,2207
546,2016-01-12,Cluster 6,6763
547,2016-01-12,Cluster 7,1030
548,2016-01-12,Cluster 8,9013
549,2016-01-12,Cluster 9,1152
550,2016-01-13,Cluster 1,1011
551,2016-01-13,Cluster 10,57
552,2016-01-13,Cluster 11,133
553,2016-01-13,Cluster 12,176
554,2016-01-13,Cluster 13,52
555,2016-01-13,Cluster 14,268
556,2016-01-13,Cluster 15,518
557,2016-01-13,Cluster 16,14
558,2016-01-13,Cluster 17,106
559,2016-01-13,Cluster 18,281
560,2016-01-13,Cluster 19,233
561,2016-01-13,Cluster 2,898
562,2016-01-13,Cluster 20,39
563,2016-01-13,Cluster 21,248
564,2016-01-13,Cluster 22,70
565,2016-01-13,Cluster 23,81
566,2016-01-13,Cluster 24,43
567,2016-01-13,Cluster 25,2202
568,2016-01-13,Cluster 26,744
569,2016-01-13,Cluster 27,131
570,2016-01-13,Cluster 28,16
571,2016-01-13,Cluster 29,3
572,2016-01-13,Cluster 3,871
573,2016-01-13,Cluster 30,21
574,2016-01-13,Cluster 31,22
575,2016-01-13,Cluster 32,33
576,2016-01-13,Cluster 33,22
577,2016-01-13,Cluster 34,36
578,2016-01-13,Cluster 35,12
579,2016-01-13,Cluster 36,15
580,2016-01-13,Cluster 37,11
581,2016-01-13,Cluster 38,10
582,2016-01-13,Cluster 39,28
583,2016-01-13,Cluster 4,1245
584,2016-01-13,Cluster 40,1
585,2016-01-13,Cluster 41,3
586,2016-01-13,Cluster 42,2
587,2016-01-13,Cluster 44,4
588,2016-01-13,Cluster 45,2396
589,2016-01-13,Cluster 46,4
590,2016-01-13,Cluster 5,2475
591,2016-01-13,Cluster 6,7179
