,date,amount,Type,MA,MS
497,05/09/2017,28185,0,28116.428571428572,7774.767174587801
498,05/10/2017,32509,0,27473.285714285714,7070.689280739342
499,05/11/2017,38548,0,27705.0,7448.574024603658
500,05/12/2017,32692,0,27774.571428571428,7499.709080072015
501,05/13/2017,23418,0,27791.14285714286,7488.298815008486
502,05/14/2017,17864,0,28004.428571428572,7121.069462216657
503,05/15/2017,26400,0,28516.571428571428,6807.664451610011
504,05/16/2017,33797,0,29318.285714285714,7086.836828804202
505,05/17/2017,40248,1,30423.85714285714,8185.979037935793
506,05/18/2017,40935,0,30764.85714285714,8619.067784638364
507,05/19/2017,37154,0,31402.285714285714,8944.20703983472
508,05/20/2017,27153,0,31935.85714285714,8488.303313551982
509,05/21/2017,22654,0,32620.14285714286,7270.55406940839
510,05/22/2017,30218,0,33165.57142857143,6857.640577174829
511,05/23/2017,34994,0,33336.57142857143,6890.853451185471
512,05/24/2017,33630,0,32391.14285714286,6204.361058389297
513,05/25/2017,31452,0,31036.428571428572,4932.921982528679
514,05/26/2017,23561,0,29094.571428571428,4796.943535806382
515,05/27/2017,18648,0,27879.571428571428,6232.864292258786
516,05/28/2017,15741,1,26892.0,7597.179542435489
517,05/28/2017,15741,1,24823.85714285714,8462.119935898101
518,05/29/2017,11590,1,21480.428571428572,8397.404457274153
519,05/29/2017,11590,1,18331.85714285714,7117.026378775803
520,05/30/2017,20860,0,16818.714285714286,4511.809234822399
521,05/31/2017,25491,0,17094.428571428572,5022.557942494482
522,06/01/2017,27225,0,18319.714285714286,6338.53489155252
523,06/02/2017,27845,0,20048.85714285714,7120.555957427576
524,06/03/2017,20770,1,20767.285714285714,6862.498809090032
525,06/03/2017,20770,1,22078.714285714286,5572.280494085176
526,06/04/2017,17547,0,22929.714285714286,3910.578802610787
527,06/05/2017,28533,0,24025.85714285714,4290.651637710844
528,06/06/2017,32976,0,25095.14285714286,5483.504944484937
529,06/07/2017,34573,1,26144.85714285714,6557.351381682808
530,06/08/2017,32511,0,26811.428571428572,6982.36122566819
531,06/09/2017,29457,0,28052.428571428572,6483.823868087509
532,06/10/2017,21657,0,28179.14285714286,6324.491769530377
533,06/11/2017,19706,1,28487.571428571428,5745.737082311368
534,06/11/2017,19706,1,27226.571428571428,6634.05423696912
535,06/12/2017,28459,0,26581.285714285714,6186.170724939262
536,06/13/2017,36977,0,26924.714285714286,6745.24555308618
537,06/14/2017,37678,0,27662.85714285714,7676.833188856205
538,06/15/2017,34333,0,28359.428571428572,8077.5200578961485
539,06/16/2017,28792,0,29378.714285714286,7521.8564577788175
540,06/17/2017,19028,0,29281.85714285714,7670.073477018162
541,06/18/2017,14492,0,28537.0,8908.22945371303
542,06/19/2017,25878,0,28168.285714285714,8965.227803655014
543,06/20/2017,31255,0,27350.85714285714,8261.445483460555
544,06/21/2017,33472,0,26750.0,7503.33474751951
545,06/22/2017,33666,0,26654.714285714286,7394.432651535583
546,06/23/2017,31580,0,27053.0,7600.941104012515
