amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm,city
2087082.0,,2017-07-18,False,False,False,False,False,False,Taipei
2082781.0,,2017-07-19,False,False,False,False,False,False,Taipei
2104837.0,,2017-07-20,False,False,False,False,False,False,Taipei
2223758.0,,2017-07-21,False,False,False,False,False,False,Taipei
1859986.0,,2017-07-22,False,False,False,False,False,False,Taipei
1605936.0,,2017-07-23,False,False,False,False,False,False,Taipei
2016193.0,,2017-07-24,False,False,False,False,False,False,Taipei
2068046.0,,2017-07-25,False,False,False,False,False,False,Taipei
2084107.0,,2017-07-26,False,False,False,False,False,False,Taipei
2098313.0,,2017-07-27,False,False,False,False,False,False,Taipei
2204065.0,,2017-07-28,False,False,False,False,False,False,Taipei
1317347.0,Extreme Weather,2017-07-29,True,True,True,True,True,True,Taipei
1055297.0,,2017-07-30,True,True,True,True,True,False,Taipei
1985582.0,Extreme Weather,2017-07-31,True,False,False,False,False,False,Taipei
2052345.0,,2017-08-01,False,False,False,False,False,False,Taipei
2040878.0,,2017-08-02,False,False,False,False,False,False,Taipei
2104228.0,,2017-08-03,False,False,False,False,False,False,Taipei
2218507.0,,2017-08-04,True,False,False,False,False,False,Taipei
1912423.0,,2017-08-05,False,True,True,False,False,True,Taipei
1626024.0,,2017-08-06,False,False,False,False,False,True,Taipei
2042440.0,,2017-08-07,False,False,False,False,False,False,Taipei
2039859.0,,2017-08-08,False,False,False,False,False,False,Taipei
2117413.0,,2017-08-09,False,False,False,False,False,False,Taipei
2155811.0,,2017-08-10,False,False,False,False,False,False,Taipei
2285172.0,,2017-08-11,False,False,False,True,False,False,Taipei
2006184.0,,2017-08-12,False,False,True,True,False,True,Taipei
1688909.0,,2017-08-13,False,False,False,False,False,False,Taipei
2050724.0,,2017-08-14,False,False,False,False,False,False,Taipei
2114355.0,,2017-08-15,False,False,False,False,False,False,Taipei
2100176.0,,2017-08-16,False,False,False,False,False,False,Taipei
2114068.0,,2017-08-17,False,False,False,False,False,False,Taipei
2242805.0,,2017-08-18,False,False,False,False,False,False,Taipei
1947925.0,,2017-08-19,False,True,True,False,False,True,Taipei
1693514.0,Extreme Weather,2017-08-20,False,False,False,False,False,False,Taipei
2046170.0,,2017-08-21,False,False,False,False,False,False,Taipei
2069924.0,,2017-08-22,False,False,False,False,False,False,Taipei
2130195.0,,2017-08-23,False,False,False,False,False,False,Taipei
