,Component,Date,Value
624,Component1,2017-02-09,0.18872435
625,Component2,2017-02-09,0.5076548
626,Component3,2017-02-09,0.40368557
627,Component4,2017-02-09,0.47592235
628,Component5,2017-02-09,-0.040550604
629,Component6,2017-02-09,0.29998848
630,Component7,2017-02-09,0.5393958999999999
631,Component8,2017-02-09,0.40668896
632,Component9,2017-02-09,0.2985627
633,Component10,2017-02-09,-0.8878451999999999
634,Component11,2017-02-09,0.19809909
635,Component12,2017-02-09,0.31109408
636,Component13,2017-02-09,-0.60332644
637,Component14,2017-02-09,-0.17830577
638,Component15,2017-02-09,-1.435334
639,Component16,2017-02-09,0.44272056
640,Component1,2017-02-10,0.12625319999999998
641,Component2,2017-02-10,0.5447390999999999
642,Component3,2017-02-10,-0.13466349
643,Component4,2017-02-10,0.27504855
644,Component5,2017-02-10,0.18857144
645,Component6,2017-02-10,-0.3126806
646,Component7,2017-02-10,0.6062621
647,Component8,2017-02-10,0.31810212
648,Component9,2017-02-10,0.023412102999999997
649,Component10,2017-02-10,-0.0036429279999999997
650,Component11,2017-02-10,-0.43746075
651,Component12,2017-02-10,0.1378433
652,Component13,2017-02-10,-0.14911748
653,Component14,2017-02-10,0.15016292
654,Component15,2017-02-10,-1.7039058999999996
655,Component16,2017-02-10,0.46673697
656,Component1,2017-02-11,0.23387063
657,Component2,2017-02-11,0.39448884
658,Component3,2017-02-11,0.43081215
659,Component4,2017-02-11,0.3525689
660,Component5,2017-02-11,0.19673806
661,Component6,2017-02-11,-0.5930078000000001
662,Component7,2017-02-11,0.63687897
663,Component8,2017-02-11,0.20711371
664,Component9,2017-02-11,0.48760706
665,Component10,2017-02-11,-0.45361239999999997
666,Component11,2017-02-11,-0.48328322
667,Component12,2017-02-11,-0.32887256
668,Component13,2017-02-11,-0.30684015
669,Component14,2017-02-11,0.13288525
670,Component15,2017-02-11,-1.1816536
671,Component16,2017-02-11,0.54136837
672,Component1,2017-02-12,0.13529852
673,Component2,2017-02-12,0.47138104
674,Component3,2017-02-12,0.39329913
675,Component4,2017-02-12,0.3040703
676,Component5,2017-02-12,0.1454861
677,Component6,2017-02-12,-0.38954985
678,Component7,2017-02-12,0.61252105
679,Component8,2017-02-12,0.26793492
680,Component9,2017-02-12,0.41740320000000003
681,Component10,2017-02-12,-0.41382840000000004
682,Component11,2017-02-12,-0.13205770000000003
683,Component12,2017-02-12,-0.27175197
684,Component13,2017-02-12,-0.27468646
685,Component14,2017-02-12,0.2927593
686,Component15,2017-02-12,-1.4043058000000002
687,Component16,2017-02-12,0.53553003
688,Component1,2017-02-13,-0.06792828
689,Component2,2017-02-13,0.46663493
690,Component3,2017-02-13,0.22381042
691,Component4,2017-02-13,0.45128366
692,Component5,2017-02-13,0.33040732
693,Component6,2017-02-13,0.04616532
694,Component7,2017-02-13,0.6408316
695,Component8,2017-02-13,0.47878504
696,Component9,2017-02-13,-0.07037996
697,Component10,2017-02-13,0.17054176
698,Component11,2017-02-13,-0.9939013000000001
699,Component12,2017-02-13,0.27443457
700,Component13,2017-02-13,-0.8466370999999999
701,Component14,2017-02-13,-0.07866266
702,Component15,2017-02-13,-1.7593935
703,Component16,2017-02-13,0.47425595
